,ZipCode,Population,PersonsPerHousehold,AverageHouseValue,IncomePerHousehold,Latitude,Longitude,Elevation,State,StateFullName,City,CountyName,CBSAType,CBSAName,MSAName,PMSA_Name,Region,Division,popden,electricity (kWh),Nat. Gas (cu.ft.),FUELOIL (gallons),Vehicle miles traveled,Transport (tCO2e/yr),Housing (tCO2e/yr),Food (tCO2e/yr),Goods (tCO2e/yr),Services (tCO2e/yr),Total Household Carbon Footprint (tCO2e/yr),HouseholdsPerZipCode,Total Zip Code Carbon Footprint (tCO2e/yr)
28660,90034,58199,2.24,321300,37231,34.030844,-118.39735,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,18836.810219436426,5060.736491508677,27745.97465323284,0.0,15897,11.325497726277847,5.974637944036936,6.720000000000001,4.7602340949907305,5.334684570832024,34.11505433613754,26656,909370.8883840822
28661,90035,27792,2.11,432300,50014,34.051996,-118.385858,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,13393.709120560732,5860.7651801459215,32315.005735470433,0.34478412270147446,17347,12.78004192748196,6.905358725841591,6.33,5.522489672359503,6.432702335836679,37.97059266151974,13363,507401.02973588824
28662,90036,32885,1.89,452600,47746,34.06998,-118.35006,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,13180.482224886242,5242.261303724063,30602.06227226802,0.7475265069450808,14428,10.936646631681477,6.40569910616447,5.67,5.316340363212364,6.22758893943441,34.55627504049272,17961,620665.2560022898
28663,90037,56691,3.77,144000,20275,34.002954,-118.285884,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,20134.5499799688,5604.86894424929,31333.32159840803,0.5299987771880911,12815,8.33984165104045,6.377606103333653,11.31,4.216561957797566,3.9461148130602437,34.19012452523191,16639,568889.4819753338
28664,90038,32557,2.65,225600,23306,34.091104,-118.34303,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,21092.109619108516,4427.835102949641,25135.030271372216,0.3003782628594271,11980,8.239115209929038,5.205765394368422,7.949999999999999,4.017700579804654,4.151328999944096,29.563910184046208,12591,372239.1931273258
28665,90039,29306,2.54,239900,45615,34.108695,-118.260592,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,7204.366181221301,6134.350759858151,32264.792652625394,0.0,19319,13.69026887643949,6.96171933649685,7.62,5.40848269182065,6.076384953594332,39.75685585835132,11933,474418.5609577063
28666,90040,9798,3.68,156200,35205,33.97698,-118.12884,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,1738.0577709967863,6816.40600636592,32934.634173084225,0.0,21153,14.102273649481747,7.183103598615382,11.040000000000001,5.137894160872032,5.233063004956148,42.69633441392531,2737,116859.86729091356
28667,90041,27864,2.82,218800,48439,34.1325,-118.20468,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,7790.170864302459,6601.07879159046,33486.08158944371,0.0,21434,15.037719417251532,7.2773504601525945,8.459999999999999,5.682441584979012,6.33429073082553,42.79180219320867,9691,414695.3550543852
28668,90042,64660,3.27,159300,36064,34.11772,-118.19201,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,13989.097331102636,6017.7620732797495,30728.465049925562,0.0,18619,12.67850727203525,6.649266163601396,9.81,5.057140362417486,5.287678134533509,39.48259193258764,20697,817171.2052287663
28669,90043,44761,2.81,172700,34069,33.99044,-118.33808,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,10905.743685177022,6863.962344441527,39526.254854728475,0.0,16692,11.530789896541638,7.868996648885057,8.43,4.768414154997756,5.091655265372441,37.68985596579689,16969,639559.1658836073
